area_type,availability,location,society,total_sqft,bath,balcony,price,size_n
Super built-up  Area,Ready To Move,Sundar Ram Shetty Nagar,neendle,1375,2,3,85,3
Plot  Area,Ready To Move,Attibele,independent,2168,4,2,95,4
Built-up  Area,Ready To Move,Gottigere,independent,1200,8,3,90,8
Super built-up  Area,Ready To Move,Yelahanka,ulure s,1065,2,1,40.84,2
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,independent,3125,9,2,350,9
Super built-up  Area,Ready To Move,Whitefield,uke 2nz,825,1,1,45,1
Built-up  Area,Ready To Move,Nelamangala,independent,1095,2,0,40,2
Plot  Area,Ready To Move,Ganga Nagar,independent,720,3,3,65,3
Super built-up  Area,Not ready,Udayapur Village,plowsri,1440,2,2,60.33,3
Super built-up  Area,Ready To Move,Electronic City,gmown e,870,2,1,39.5,2
Super built-up  Area,Ready To Move,Panathur,prcesvy,1195,2,1,84,2
Super built-up  Area,Ready To Move,"Kirloskar layout, Basaveshwarnagar",independent,1200,2,1,49.5,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,lancy r,1530,3,3,61.2,3
Super built-up  Area,Not ready,Padmanabhanagar,independent,1708,2,1,90.5,3
Super built-up  Area,Ready To Move,Alfa Garden Layout,saeina ,975,2,1,43,2
Built-up  Area,Ready To Move,KR Puram,independent,750,2,1,25,2
Plot  Area,Ready To Move,Gowdanapalya,independent,1200,8,2,190,8
Super built-up  Area,Not ready,Iblur Village,dnionfl,1920,3,2,130,3
Plot  Area,Ready To Move,Nagarbhavi,independent,1200,5,2,240,6
Super built-up  Area,Not ready,Thanisandra,bhe 2ko,1183,2,1,58.56,2
Plot  Area,Ready To Move,Kothanur,independent,1140,4,1,90,4
Super built-up  Area,Ready To Move,Mico Layout,inasy e,1550,2,2,65,3
Super built-up  Area,Ready To Move,Kaggadasapura,frides ,1110,2,3,53,2
Super built-up  Area,Ready To Move,Kaggadasapura,slireap,1105,2,1,38.67,2
Plot  Area,Ready To Move,Anekal,independent,1800,3,2,68,3
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,independent,2800,4,2,200,5
Super built-up  Area,Not ready,Bommanahalli,independent,1000,2,2,29.9,2
Built-up  Area,Ready To Move,Prithvi Layout,independent,1190,2,2,68,2
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,independent,1350,4,1,200,4
Super built-up  Area,Not ready,Hebbal,snontle,3067,4,2,230,4
Super built-up  Area,Not ready,Sarjapur  Road,pualesk,1929,4,1,103,3
Built-up  Area,Ready To Move,Ramamurthy Nagar,svyam n,1525,3,1,100,3
Super built-up  Area,Ready To Move,Nehru Nagar,ceste c,1775,3,3,110,3
Built-up  Area,Ready To Move,Banashankari,koestpt,1125,2,1,63,2
Super built-up  Area,Ready To Move,Hessarghatta,independent,900,2,2,42,2
Super built-up  Area,Not ready,Sarjapur  Road,independent,1155,2,1,58,2
Built-up  Area,Ready To Move,Hulimavu,independent,1200,4,0,75,4
Super built-up  Area,Ready To Move,Sonnenahalli,skacak ,1268,2,1,73,2
Built-up  Area,Ready To Move,Hoodi Layout,svstos ,1500,3,2,88,3
Super built-up  Area,Not ready,Electronic City,prarkun,630,1,1,47,1
Super built-up  Area,Ready To Move,Seegehalli,paoliy ,1525,3,2,65,3
Super built-up  Area,Ready To Move,Kaggadasapura,mebhaee,1060,2,2,48,2
Super built-up  Area,Ready To Move,Lingadheeranahalli,soiewre,1687,3,3,127,3
Super built-up  Area,Ready To Move,Thanisandra,soitya ,1847,3,2,123,3
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1410,2,3,53,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,srncyre,1075,2,1,42.99,2
Super built-up  Area,Ready To Move,Rajaji Nagar,pheston,3526,4,2,492,4
Built-up  Area,Ready To Move,BTM Layout,independent,3000,3,0,338,3
Built-up  Area,Not ready,Basavangudi,independent,1500,2,1,143,3
Built-up  Area,Ready To Move,Gaundanapalya,sioma a,1010,2,2,46,2
Super built-up  Area,Not ready,Haralur Road,snnia e,1875,3,3,110,3
Plot  Area,Ready To Move,Arasanakunte,independent,1200,6,2,137,5
Super built-up  Area,Not ready,Kanakpura Road,golusli,983,2,1,50.6,2
Super built-up  Area,Ready To Move,Kasturi Nagar,independent,1101,2,2,65,2
Super built-up  Area,Ready To Move,Laxmi Sagar Layout,dubowra,1140,2,1,76,2
Super built-up  Area,Ready To Move,Sarjapur  Road,adeatlm,1215,2,2,110,2
Super built-up  Area,Ready To Move,Kengeri Satellite Town,independent,1007,2,3,42,2
Super built-up  Area,Ready To Move,Bellandur,soderla,2039,3,2,168,3
Built-up  Area,Ready To Move,Ulsoor,independent,1020,3,2,110,3
Super built-up  Area,Ready To Move,Outer Ring Road East,independent,1198,2,1,84,2
Plot  Area,Ready To Move,Nelamangala,independent,1470,4,2,34.5,4
Built-up  Area,Ready To Move,JakkurYelahanka,independent,1370,2,2,75,2
Super built-up  Area,Ready To Move,Yemlur,independent,1316,2,3,55.5,2
Super built-up  Area,Ready To Move,Kaggadasapura,foity s,1350,3,1,55.5,3
Super built-up  Area,Not ready,Gunjur Palya,independent,1050,2,1,43,2
Super built-up  Area,Ready To Move,Electronic City,prwarsa,921,2,1,34,2
Super built-up  Area,Ready To Move,Kundalahalli,rasom b,1010,2,1,49.27,2
Super built-up  Area,Not ready,KR Puram,mcnexva,1015,2,1,43,2
Plot  Area,Ready To Move,TC Palaya,independent,1200,2,0,66.5,3
Built-up  Area,Ready To Move,Lakshminarayana Pura,rothava,1179,2,1,75,2
Built-up  Area,Ready To Move,Anjanapura,independent,1850,4,2,86,4
Super built-up  Area,Ready To Move,Kammasandra,prarkhi,870,2,1,24,2
Super built-up  Area,Ready To Move,Bellandur,independent,1605,3,2,85,3
Plot  Area,Ready To Move,Banashankari Stage VI,independent,2800,4,2,89,4
Super built-up  Area,Ready To Move,Malleshwaram,sariaat,2475,4,3,320,3
Plot  Area,Ready To Move,Bileshivale,independent,2400,7,2,110,6
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,gintsar,1000,1,1,55,2
Plot  Area,Ready To Move,Ramamurthy Nagar,independent,1200,2,0,80,2
Plot  Area,Ready To Move,Manjunatha Layout,independent,1200,2,2,125,2
Plot  Area,Not ready,Kammasandra,daden g,1200,2,1,66,2
Built-up  Area,Ready To Move,Kashi Nagar,independent,1200,2,2,50,2
Super built-up  Area,Ready To Move,Hennur,shateor,1255,2,1,57.5,2
Super built-up  Area,Ready To Move,Hosur Road,collsrn,1085,2,2,30.38,2
Super built-up  Area,Not ready,Kanakpura Road,soazak ,1592,3,2,125,3
Super built-up  Area,Not ready,B Narayanapura,independent,1313,2,1,58.27,2
Super built-up  Area,Not ready,Kogilu,sourtal,1934,3,2,150,3
Super built-up  Area,Ready To Move,Harlur,sancyi ,1200,2,1,49.5,2
Super built-up  Area,Ready To Move,Uttarahalli,poetyho,3600,6,2,120,6
Super built-up  Area,Not ready,Old Madras Road,sheldgr,935,2,1,45,2
Built-up  Area,Ready To Move,Bommasandra,vaodspe,877,2,2,30,2
Super built-up  Area,Ready To Move,Ashwathnagar,gmentap,936,2,2,42,2
Super built-up  Area,Ready To Move,Nagasandra,independent,1470,2,2,110,3
Built-up  Area,Ready To Move,Upkar Layout,independent,1050,1,1,70,1
Super built-up  Area,Not ready,Hennur Road,puachal,1232,2,0,69.61,2
Super built-up  Area,Ready To Move,Ambedkar Nagar,soechha,2225,4,2,169,3
Plot  Area,Ready To Move,Sunkadakatte,independent,1200,2,0,80,3
Super built-up  Area,Ready To Move,Dasarahalli,sooneoo,1901,3,2,119,3
Super built-up  Area,Not ready,Sarjapur  Road,klark l,1819,3,2,100,3
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,independent,1464,3,2,56,3
Plot  Area,Not ready,Banashankari,independent,2400,2,2,460,2.6
Super built-up  Area,Ready To Move,Old Madras Road,brica e,3630,6,0,200.5,4
Built-up  Area,Ready To Move,9th Phase JP Nagar,imiteel,5000,4,3,290,4
Super built-up  Area,Ready To Move,Someshwara Layout,independent,1200,4,3,169,4
Super built-up  Area,Ready To Move,Kacharakanahalli,independent,1256,2,1,60,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,independent,1100,2,2,44,2
Plot  Area,Ready To Move,TC Palaya,independent,4800,3,3,302,4
Super built-up  Area,Ready To Move,Kothanur,independent,1435,3,3,70,3
Super built-up  Area,Ready To Move,6th Phase JP Nagar,independent,3245,4,2,250,4
Super built-up  Area,Ready To Move,Sarjapur  Road,ceiti i,1845,4,1,110,3
Plot  Area,Ready To Move,Jigani,independent,2400,4,1,130,3
Super built-up  Area,Ready To Move,HSR Layout,nrosete,1140,2,2,46,2
Super built-up  Area,Not ready,Ulsoor,independent,1200,2,0,60,2
Super built-up  Area,Not ready,Talaghattapura,sodgere,2254,3,2,170,3
Super built-up  Area,Ready To Move,Frazer Town,asareur,1750,3,2,150,3
Built-up  Area,Ready To Move,Jalahalli West,caiseha,1020,2,1,37,2
Built-up  Area,Ready To Move,Bommanahalli,independent,515,1,1,25,1
Super built-up  Area,Ready To Move,Lingadheeranahalli,soiewre,1893,3,2,140,3
Super built-up  Area,Ready To Move,Vasanth nagar,pricae ,3025,3,0,500,3
Built-up  Area,Ready To Move,Suddaguntepalya,independent,830,2,0,34,2
Built-up  Area,Ready To Move,Singasandra,independent,600,2,1,36.5,2
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075,2,1,90,3
Super built-up  Area,Ready To Move,Kasavanhalli,hmonymp,1200,2,1,78,2
Super built-up  Area,Not ready,Sarjapur  Road,brareio,1233,2,2,77.65,2
Super built-up  Area,Ready To Move,Bannerghatta Road,snity s,1255,2,2,65.26,2
Super built-up  Area,Ready To Move,Begur Road,independent,1200,2,2,37.8,2
Super built-up  Area,Ready To Move,Varthur,independent,2145,3,2,175,3
Built-up  Area,Ready To Move,1st Phase JP Nagar,independent,1500,5,2,85,5
Built-up  Area,Ready To Move,Kothannur,independent,740,2,1,34,2
Super built-up  Area,Ready To Move,Kengeri,independent,1250,3,3,48,3
Super built-up  Area,Ready To Move,Channasandra Layout,independent,1210,2,2,40,2
Super built-up  Area,Ready To Move,Sarjapur  Road,shthi s,1525,2,2,60,3
Built-up  Area,Ready To Move,Kogilu,independent,540,1,0,36,1
Super built-up  Area,Ready To Move,Tumkur Road,sahtsva,1240,2,1,84,3
Super built-up  Area,Ready To Move,Subramanyapura,mayne a,1245,2,1,68,3
Plot  Area,Ready To Move,HAL 3rd Stage,independent,1865,3,3,350,3
Super built-up  Area,Not ready,Hosa Road,akvam p,1004,2,0,36.43,2
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075,2,1,35.99,3
Built-up  Area,Not ready,Nagavara,independent,2200,2,1,55,2
Super built-up  Area,Ready To Move,Whitefield,srireso,1155,2,1,60,2
Super built-up  Area,Ready To Move,Doctors Layout,mavelr ,1520,2,3,62,2
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,3122,6,2,245,4
Super built-up  Area,Ready To Move,Harlur,prncyrn,1290,2,1,85,2
Built-up  Area,Ready To Move,1st Block HRBR Layout,independent,2300,3,2,80,3
Built-up  Area,Ready To Move,Kannamangala,independent,3000,4,0,200,4
Built-up  Area,Ready To Move,Austin Town,independent,400,1,0,14,1
Super built-up  Area,Ready To Move,Banashankari,independent,1340,2,3,53.6,3
Super built-up  Area,Ready To Move,Malleshwaram,srntsrv,900,2,1,95,2
Plot  Area,Ready To Move,Rajaji Nagar,independent,1800,4,2,324,6
Super built-up  Area,Ready To Move,Hennur Road,koagati,987,2,1,49,2
Super built-up  Area,Ready To Move,Old Madras Road,brglede,1720,3,2,100,3
Super built-up  Area,Ready To Move,Hebbal,ratlet ,1040,2,1,50,2
Built-up  Area,Ready To Move,Anandapura,independent,900,2,0,64,2
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,neess p,1030,2,1,50,2
Super built-up  Area,Ready To Move,Neeladri Nagar,geereec,2556,3,2,133,3
Super built-up  Area,Ready To Move,Basavangudi,kuisepa,1850,3,1,168,3
Plot  Area,Ready To Move,Kaval Byrasandra,independent,750,4,3,110,4
Super built-up  Area,Not ready,Balagere,independent,1028,2,1,31.86,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,briummi,1270,2,1,83,2
Built-up  Area,Not ready,Sahakara Nagar,independent,1655,3,1,115,3
Built-up  Area,Ready To Move,Electronics City Phase 1,independent,940,2,1,40,2
Super built-up  Area,Ready To Move,Domlur,ibictnd,1050,2,2,85,2
Plot  Area,Ready To Move,Rajagopala Nagar,independent,600,4,1,40,4
Super built-up  Area,Not ready,Vishwapriya Nagar,aaniaa ,946,2,1,38,2
Built-up  Area,Ready To Move,CV Raman Nagar,veskyva,1726,3,3,145,3
Super built-up  Area,Ready To Move,Sarakki Nagar,sowerew,2121,4,3,253,3
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1404,2,1,75,2
Super built-up  Area,Ready To Move,Sarjapur,independent,1525,2,2,48,3
Super built-up  Area,Ready To Move,Kengeri,vaens g,1025,2,2,57,2
Plot  Area,Ready To Move,Bahubali Nagar,independent,1575,4,0,150,5
Built-up  Area,Ready To Move,RMV 2nd Stage,independent,860,1,1,43,2
Super built-up  Area,Ready To Move,Talaghattapura,independent,1223,2,1,42.81,3
Super built-up  Area,Ready To Move,Kothannur,independent,1197,2,1,47.8,2
Super built-up  Area,Ready To Move,Garudachar Palya,independent,1150,2,1,52.75,2
Super built-up  Area,Ready To Move,R.T. Nagar,dhows m,1040,2,2,46,2
Super built-up  Area,Not ready,Banashankari,bregae ,1310,2,2,80,2
Super built-up  Area,Ready To Move,Uttarahalli,baveles,1788,3,2,98.34,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1144,2,2,38.55,2
Super built-up  Area,Not ready,Anjanapura,independent,1070,2,2,39,2
Super built-up  Area,Ready To Move,Nandini Layout,independent,1200,2,2,70,2
Super built-up  Area,Ready To Move,Ambedkar Nagar,independent,1862,3,2,120,3
Plot  Area,Ready To Move,Margondanahalli,independent,1200,2,1,58.5,2
Super built-up  Area,Ready To Move,Begur Road,independent,970,2,2,27,2
Super built-up  Area,Not ready,Kasavanhalli,oca 2 v,1646,3,2,79.5,3
Super built-up  Area,Ready To Move,Sarjapur  Road,klark l,4395,4,2,242,4
Plot  Area,Ready To Move,Vibhutipura Extension,independent,1200,4,1,100,5
Super built-up  Area,Not ready,Iblur Village,dnionfl,1995,3,2,135,3
Plot  Area,Ready To Move,1st Block Jayanagar,independent,2400,4,2,450,4
Super built-up  Area,Not ready,Hosakerehalli,maunt m,1085,2,1,47.74,2
Super built-up  Area,Ready To Move,Budigere,pritytr,1139,2,2,56.8,2
Super built-up  Area,Ready To Move,Haralur Road,independent,1092,2,2,44,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,maidopl,1767,3,2,98,3
Built-up  Area,Ready To Move,HMT Layout,independent,1700,3,2,80,3
Super built-up  Area,Ready To Move,Bellandur,maonsrn,1692,3,2,88,3
Built-up  Area,Ready To Move,6th Phase JP Nagar,independent,1645,3,3,100,3
Super built-up  Area,Ready To Move,Uttarahalli,aklia r,1345,2,1,57,3
Super built-up  Area,Ready To Move,Basapura,krtiqa ,1100,2,1,60,2
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,mauner ,1408,3,3,62,3
Plot  Area,Ready To Move,Banashankari Stage III,independent,2400,4,1,240,4
Plot  Area,Ready To Move,Kadugodi,independent,1920,4,2,200,4
Plot  Area,Ready To Move,Bileshivale,lgdewke,6040,4,2,170,5
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,2072,4,2,150,3
Super built-up  Area,Ready To Move,Malleshwaram,maens g,1420,2,1,158,2
Plot  Area,Ready To Move,Electronics City Phase 1,independent,2040,3,2,137,3
Super built-up  Area,Ready To Move,Sarjapur  Road,independent,1220,3,2,56,3
Plot  Area,Ready To Move,8th Phase JP Nagar,independent,1200,4,2,145,4
Super built-up  Area,Ready To Move,B Channasandra,independent,1300,2,1,79,2
Super built-up  Area,Not ready,Electronics City Phase 1,independent,1150,2,2,39,2
Super built-up  Area,Ready To Move,KR Puram,independent,1470,2,2,86,2
Super built-up  Area,Not ready,Hosa Road,sstusan,1063,2,1,31.9,2
Super built-up  Area,Ready To Move,Harappanahalli,independent,1311,2,2,48,2
Super built-up  Area,Ready To Move,Dollars Colony,independent,3500,4,3,350,4
Plot  Area,Ready To Move,Nagarbhavi,independent,600,2,1,100,4
Super built-up  Area,Ready To Move,Arehalli,independent,1400,2,2,55,3
Built-up  Area,Not ready,Kanakpura Road,independent,2200,2,0,62,2
Super built-up  Area,Ready To Move,Thanisandra,menueno,1430,2,2,56,3
Built-up  Area,Ready To Move,Vidyaranyapura,independent,1060,2,2,55,2
Built-up  Area,Ready To Move,Cambridge  road,independent,1000,2,0,110,3
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,saitya ,1760,3,2,145,3
Super built-up  Area,Ready To Move,Whitefield,suent v,2010,3,3,92,3
Super built-up  Area,Ready To Move,Kanakpura Road,wiowsri,1480,2,2,64.23,3
Super built-up  Area,Not ready,8th Phase JP Nagar,independent,1230,2,2,43.5,3
Super built-up  Area,Ready To Move,Gottigere,independent,1300,3,3,65,3
Plot  Area,Ready To Move,Vajarahalli,independent,800,4,0,120,4
Super built-up  Area,Ready To Move,Frazer Town,meentan,4850,6,2,385,4
Super built-up  Area,Ready To Move,Singasandra,gre 2iv,1100,2,1,52,2
Super built-up  Area,Ready To Move,Marathahalli,independent,957,2,1,46.9,2
Super built-up  Area,Not ready,Balagere,soresea,645,1,0,41.9,1
Built-up  Area,Ready To Move,Hennur Gardens,plhtshe,1942,3,2,102,3
Built-up  Area,Ready To Move,Ashirvad Colony,swhtsna,1000,2,2,53,2
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,668,1,1,36.85,1
Plot  Area,Ready To Move,Nagarbhavi,independent,600,2,1,80,3
Super built-up  Area,Ready To Move,Uttarahalli,independent,1089,2,1,43.55,2
Super built-up  Area,Ready To Move,Thanisandra,r ra  r,1800,3,3,90,3
Super built-up  Area,Ready To Move,Yelahanka New Town,independent,960,2,1,18,1
Super built-up  Area,Ready To Move,Yelahanka,pyikad ,1036,2,3,39.35,2
Super built-up  Area,Ready To Move,Marathahalli,puerari,1583,3,3,105,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,independent,3300,4,0,150,4
Super built-up  Area,Ready To Move,Padmanabhanagar,bhise p,1100,2,2,65,2
Plot  Area,Ready To Move,Thyagaraja Nagar,independent,800,1,1,100,1
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1246,2,1,65,2
Super built-up  Area,Ready To Move,Dodda Nekkundi,saisepa,850,2,3,28,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1196,2,2,51.51,2
Super built-up  Area,Ready To Move,Thanisandra,soitya ,1697,3,2,114,3
Built-up  Area,Ready To Move,TC Palaya,independent,1000,2,0,64,2
Super built-up  Area,Ready To Move,HRBR Layout,independent,1567,3,3,90,3
Plot  Area,Not ready,Anekal,independent,1200,1,1,36,2
Plot  Area,Ready To Move,Sarjapur  Road,co iila,3750,6,3,290,4
Super built-up  Area,Ready To Move,Veerannapalya,independent,950,2,2,45,2
Super built-up  Area,Ready To Move,Howthinarayanappa Garden,vidil d,1022,2,2,52,2
Super built-up  Area,Ready To Move,Kammasandra,paigema,1018,2,0,23.45,2
Plot  Area,Ready To Move,Basavanagara,independent,2000,3,2,25,4
Super built-up  Area,Ready To Move,Bharathi Nagar,foapewa,1322,2,2,68,2
Plot  Area,Ready To Move,Marsur,arerare,1800,4,2,145,4
Super built-up  Area,Ready To Move,Doddakallasandra,independent,1460,2,2,58.39,3
Super built-up  Area,Not ready,SRINIVASAPURA,independent,990,2,1,44.55,2
Built-up  Area,Ready To Move,Cambridge Layout,sancybr,2400,3,1,260,3
Super built-up  Area,Ready To Move,Whitefield,lallere,1635,2,2,85,3
Built-up  Area,Ready To Move,Padmanabhanagar,independent,3400,3,1,210,4
Built-up  Area,Ready To Move,Ramakrishnappa Layout,pebayle,2770,3,1,460,3
Super built-up  Area,Ready To Move,EPIP Zone,brontla,2710,5,0,200,4
Super built-up  Area,Ready To Move,Maragondanahalli,arnzafi,1533,3,2,85,3
Super built-up  Area,Ready To Move,Akshaya Nagar,hiows c,1720,3,1,134,3
Super built-up  Area,Ready To Move,Frazer Town,independent,2000,3,1,200,3
Super built-up  Area,Not ready,Yeshwanthpur,aroomba,1185,2,2,75.84,2
Super built-up  Area,Not ready,Varthur Road,independent,900,2,1,27,2
Built-up  Area,Ready To Move,Attibele,jae 1hu,395,1,1,10.25,1
Super built-up  Area,Ready To Move,Electronic City Phase II,brods w,1031,2,1,56.35,2
Super built-up  Area,Ready To Move,Thanisandra,g conth,2650,4,2,240,4
Plot  Area,Ready To Move,Basaveshwara Nagar,independent,2400,5,1,415,5
Super built-up  Area,Ready To Move,Uttarahalli,slnsspr,1330,2,2,46.55,3
Super built-up  Area,Ready To Move,Hennur,exitym ,1259,2,2,57,2
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grvanun,1570,3,2,88,3
Built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075,2,1,36,3
Super built-up  Area,Not ready,Whitefield,prtates,1216,2,1,79,2
Super built-up  Area,Ready To Move,Sarjapur  Road,srisei ,1428,2,2,66,3
